-----------------------------------
Unigrams and their probabilities:
shares? has probability 0.0002123705866737457
japanese has probability 0.0002123705866737457
off has probability 0.0002123705866737457
causing has probability 0.0002123705866737457
small has probability 0.00020647140371058607
word? has probability 0.00020647140371058607
getting has probability 0.00020647140371058607
prices has probability 0.00020647140371058607
control has probability 0.00020647140371058607
net has probability 0.00020647140371058607
don't has probability 0.00020057222074742649
without has probability 0.00020057222074742649
put has probability 0.00020057222074742649
person has probability 0.00020057222074742649
cut has probability 0.00020057222074742649
south has probability 0.00020057222074742649
he? has probability 0.00020057222074742649
international has probability 0.00020057222074742649
bank has probability 0.00020057222074742649
better has probability 0.00020057222074742649
place has probability 0.00020057222074742649
each has probability 0.00020057222074742649
group? has probability 0.00019467303778426687
scientists has probability 0.00019467303778426687
because has probability 0.00019467303778426687
things has probability 0.00019467303778426687
investors has probability 0.00019467303778426687
market? has probability 0.00019467303778426687
too has probability 0.00019467303778426687
world has probability 0.00019467303778426687
war? has probability 0.00019467303778426687
students has probability 0.00019467303778426687
age has probability 0.00018877385482110728
prime has probability 0.00018877385482110728
foreign has probability 0.00018877385482110728
buy has probability 0.00018877385482110728
life has probability 0.00018877385482110728
sell has probability 0.00018877385482110728
decide has probability 0.00018877385482110728
business has probability 0.00018877385482110728
amount has probability 0.00018877385482110728
both has probability 0.00018877385482110728
percentage has probability 0.00018877385482110728
area? has probability 0.00018287467185794766
children has probability 0.00018287467185794766
but has probability 0.00018287467185794766
determine has probability 0.00018287467185794766
expect has probability 0.00018287467185794766
compare has probability 0.00018287467185794766
found has probability 0.00018287467185794766
give has probability 0.00018287467185794766
debt has probability 0.00018287467185794766
income has probability 0.00018287467185794766
trading? has probability 0.00018287467185794766
before? has probability 0.00018287467185794766
groups has probability 0.00018287467185794766
peace has probability 0.00018287467185794766
support has probability 0.00017697548889478808
united has probability 0.00017697548889478808
happen has probability 0.00017697548889478808
like? has probability 0.00017697548889478808
legal has probability 0.00017697548889478808
city has probability 0.00017697548889478808
with? has probability 0.00017697548889478808
nuclear has probability 0.00017697548889478808
entail? has probability 0.00017107630593162846
workers has probability 0.00017107630593162846
business? has probability 0.00017107630593162846
change? has probability 0.00017107630593162846
hard has probability 0.00017107630593162846
area has probability 0.00017107630593162846
date? has probability 0.00017107630593162846
man has probability 0.00017107630593162846
house has probability 0.00017107630593162846
price has probability 0.00017107630593162846
military has probability 0.00017107630593162846
trading has probability 0.00017107630593162846
four has probability 0.00017107630593162846
working has probability 0.00017107630593162846
companies? has probability 0.00016517712296846887
what's has probability 0.00016517712296846887
it's has probability 0.00016517712296846887
important has probability 0.00016517712296846887
issue has probability 0.00016517712296846887
expected has probability 0.00016517712296846887
used? has probability 0.00016517712296846887
share has probability 0.00016517712296846887
meeting has probability 0.00016517712296846887
rights has probability 0.00016517712296846887
congress has probability 0.00016517712296846887
can't has probability 0.00015927794000530925
see has probability 0.00015927794000530925
north has probability 0.00015927794000530925
located? has probability 0.00015927794000530925
who? has probability 0.00015927794000530925
actual has probability 0.00015927794000530925
numbers has probability 0.00015927794000530925
possible has probability 0.00015927794000530925
real has probability 0.00015927794000530925
evidence? has probability 0.00015927794000530925
power has probability 0.00015927794000530925
keep has probability 0.00015927794000530925
occur? has probability 0.00015927794000530925
set has probability 0.00015927794000530925
debt? has probability 0.00015927794000530925
former has probability 0.00015927794000530925
allowed has probability 0.00015927794000530925
matter? has probability 0.00015337875704214967
members has probability 0.00015337875704214967
constitutes has probability 0.00015337875704214967
decision? has probability 0.00015337875704214967
off? has probability 0.00015337875704214967
compared has probability 0.00015337875704214967
kinds has probability 0.00015337875704214967
second has probability 0.00015337875704214967
rate? has probability 0.00015337875704214967
called has probability 0.00015337875704214967
rise has probability 0.00015337875704214967
million has probability 0.00015337875704214967
case? has probability 0.00015337875704214967
shares has probability 0.00015337875704214967
car has probability 0.00015337875704214967
president? has probability 0.00015337875704214967
department has probability 0.00015337875704214967
bill has probability 0.00015337875704214967
home has probability 0.00015337875704214967
fire has probability 0.00015337875704214967
isn't has probability 0.00014747957407899005
national has probability 0.00014747957407899005
something has probability 0.00014747957407899005
states? has probability 0.00014747957407899005
offer? has probability 0.00014747957407899005
context? has probability 0.00014747957407899005
based has probability 0.00014747957407899005
often has probability 0.00014747957407899005
word has probability 0.00014747957407899005
behind has probability 0.00014747957407899005
corp. has probability 0.00014747957407899005
turn has probability 0.00014747957407899005
revenue has probability 0.00014747957407899005
men has probability 0.00014747957407899005
bush has probability 0.00014747957407899005
general has probability 0.00014747957407899005
involved? has probability 0.00014747957407899005
plan? has probability 0.00014747957407899005
agreement? has probability 0.00014747957407899005
little has probability 0.00014747957407899005
family has probability 0.00014747957407899005
police has probability 0.00014747957407899005
these? has probability 0.00014158039111583046
gain has probability 0.00014158039111583046
system has probability 0.00014158039111583046
selling has probability 0.00014158039111583046
using has probability 0.00014158039111583046
why? has probability 0.00014158039111583046
say? has probability 0.00014158039111583046
industry? has probability 0.00014158039111583046
financial has probability 0.00014158039111583046
economy has probability 0.00014158039111583046
close has probability 0.00014158039111583046
problems? has probability 0.00014158039111583046
record has probability 0.00014158039111583046
having has probability 0.00014158039111583046
& has probability 0.00014158039111583046
loss has probability 0.00014158039111583046
rates has probability 0.00014158039111583046
increase? has probability 0.00014158039111583046
region? has probability 0.00014158039111583046
talks has probability 0.00014158039111583046
held has probability 0.00014158039111583046
main has probability 0.00014158039111583046
issues? has probability 0.00014158039111583046
weapons has probability 0.00014158039111583046
medical has probability 0.00013568120815267084
day has probability 0.00013568120815267084
minister has probability 0.00013568120815267084
decline has probability 0.00013568120815267084
show has probability 0.00013568120815267084
actions has probability 0.00013568120815267084
hasn't has probability 0.00013568120815267084
given has probability 0.00013568120815267084
play has probability 0.00013568120815267084
trouble? has probability 0.00013568120815267084
game has probability 0.00013568120815267084
believe has probability 0.00013568120815267084
different? has probability 0.00013568120815267084
might has probability 0.00013568120815267084
choose has probability 0.00013568120815267084
decision has probability 0.00013568120815267084
loss? has probability 0.00013568120815267084
definition has probability 0.00013568120815267084
offer has probability 0.00013568120815267084
nations? has probability 0.00013568120815267084
difference has probability 0.00013568120815267084
information? has probability 0.00013568120815267084
computer has probability 0.00013568120815267084
key has probability 0.00013568120815267084
union has probability 0.00013568120815267084
space has probability 0.00012978202518951126
americans has probability 0.00012978202518951126
even has probability 0.00012978202518951126
happened? has probability 0.00012978202518951126
actually has probability 0.00012978202518951126
problem has probability 0.00012978202518951126
social has probability 0.00012978202518951126
try has probability 0.00012978202518951126
exchange has probability 0.00012978202518951126
human has probability 0.00012978202518951126
said has probability 0.00012978202518951126
due has probability 0.00012978202518951126
well has probability 0.00012978202518951126
drop has probability 0.00012978202518951126
less has probability 0.00012978202518951126
move has probability 0.00012978202518951126
high? has probability 0.00012978202518951126
value has probability 0.00012978202518951126
aid has probability 0.00012978202518951126
party has probability 0.00012978202518951126
players has probability 0.00012978202518951126
nations has probability 0.00012978202518951126
charges? has probability 0.00012978202518951126
russia has probability 0.00012978202518951126
date has probability 0.00012388284222635164
our has probability 0.00012388284222635164
law? has probability 0.00012388284222635164
meaning has probability 0.00012388284222635164
wouldn't has probability 0.00012388284222635164
wrong has probability 0.00012388284222635164
study has probability 0.00012388284222635164
lack has probability 0.00012388284222635164
leaders has probability 0.00012388284222635164
prices? has probability 0.00012388284222635164
accused has probability 0.00012388284222635164
